id,player_name,nation,position,age,matches_played,starts,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,expected_goals,expected_assists,team_name
401,Jack Stephens,eng ENG,DF,28,3,1,93,0,0,0,0,0,0,0.1,Bournemouth
402,Junior Stanislas,eng ENG,MF,33,4,0,61,0,0,0,0,0,0,0.1,Bournemouth
403,Joe Rothwell,eng ENG,"MF,DF",27,2,0,17,0,0,0,0,0,0,0,Bournemouth
404,Owen Bevan,wls WAL,DF,19,1,0,9,0,0,0,0,0,0,0,Bournemouth
405,Emiliano Marcondes,dk DEN,MF,27,1,0,9,0,0,0,0,0,0,0,Bournemouth
406,Siriki Dembélé,ci CIV,FW,26,1,0,8,0,0,0,0,0,0,0,Bournemouth
407,Jamal Lowe,jm JAM,FW,28,1,0,1,0,0,0,0,0,0,0,Bournemouth
408,Will Dennis,eng ENG,GK,22,0,0,,,,,,,,,Bournemouth
409,James Hill,eng ENG,DF,20,0,0,,,,,,,,,Bournemouth
410,Cameron Plain,eng ENG,GK,20,0,0,,,,,,,,,Bournemouth
411,Christian Saydee,lr LBR,MF,20,0,0,,,,,,,,,Bournemouth
413,Illan Meslier,fr FRA,GK,22,14,14,1260,0,0,0,0,0,0,0,Leeds-United
414,Robin Koch,de GER,DF,26,14,14,1215,0,0,0,3,0,0.2,0,Leeds-United
415,Brenden Aaronson,us USA,"MF,FW",22,14,14,1189,1,2,0,2,0,1.9,2.9,Leeds-United
416,Marc Roca,es ESP,MF,26,14,14,1031,1,1,0,3,0,0.9,0.5,Leeds-United
417,Tyler Adams,us USA,MF,23,13,13,1166,0,0,0,4,1,0,0.9,Leeds-United
418,Pascal Struijk,nl NED,DF,23,13,13,1164,1,1,0,2,0,0.9,2.3,Leeds-United
419,Rasmus Nissen,dk DEN,DF,25,12,12,1048,0,1,0,4,0,0.4,0.8,Leeds-United
420,Jack Harrison,eng ENG,"FW,MF",26,13,12,937,1,3,0,2,0,1.3,1.9,Leeds-United
421,Rodrigo,es ESP,"FW,MF",31,13,12,886,9,1,1,1,0,5.4,1.2,Leeds-United
422,Liam Cooper,sct SCO,DF,31,8,7,675,1,0,0,1,0,0.4,0.4,Leeds-United
423,Diego Llorente,es ESP,DF,29,7,7,630,0,0,0,1,0,0.7,0,Leeds-United
424,Luis Sinisterra,co COL,FW,23,9,6,453,2,0,0,3,1,1.5,0.2,Leeds-United
425,Crysencio Summerville,nl NED,"FW,MF",21,10,4,473,4,0,0,1,0,1.5,0.3,Leeds-United
426,Patrick Bamford,eng ENG,FW,29,10,4,429,0,1,0,0,0,4.1,0.3,Leeds-United
427,Daniel James,wls WAL,FW,25,4,2,198,0,0,0,0,0,0.3,0.3,Leeds-United
428,Sam Greenwood,eng ENG,"MF,FW",20,6,1,188,1,1,0,0,0,0.5,0.3,Leeds-United
429,Joe Gelhardt,eng ENG,FW,20,11,1,169,0,1,0,1,0,0.7,0.1,Leeds-United
430,Luke Ayling,eng ENG,DF,31,7,1,159,0,1,0,0,0,0.2,0.1,Leeds-United
431,Junior Firpo,es ESP,DF,26,2,1,114,0,0,0,0,0,0,0.1,Leeds-United
432,Degnand Gnonto,it ITA,"FW,MF",19,3,1,109,0,1,0,0,0,0,0.6,Leeds-United
433,Cody Drameh,eng ENG,DF,20,1,1,69,0,0,0,0,0,0,0,Leeds-United
434,Mateusz Klich,pl POL,"MF,FW",32,11,0,199,0,0,0,1,0,0.1,0.2,Leeds-United
435,Adam Forshaw,eng ENG,MF,31,3,0,50,0,0,0,0,0,0,0.4,Leeds-United
436,Mateo Fernández,es ESP,MF,19,1,0,2,0,0,0,0,0,0,0,Leeds-United
437,Leo Fuhr Hjelde,no NOR,DF,19,0,0,,,,,,,,,Leeds-United
438,Archie Gray,eng ENG,MF,16,0,0,,,,,,,,,Leeds-United
439,Darko Gyabi,eng ENG,MF,18,0,0,,,,,,,,,Leeds-United
440,Kristoffer Klaesson,no NOR,GK,22,0,0,,,,,,,,,Leeds-United
441,Sonny Perkins,eng ENG,FW,18,0,0,,,,,,,,,Leeds-United
442,Joel Robles,es ESP,GK,32,0,0,,,,,,,,,Leeds-United
444,Declan Rice,eng ENG,MF,23,15,15,1350,1,1,0,2,0,1.4,1.8,West-Ham-United
445,Jarrod Bowen,eng ENG,FW,25,15,15,1340,2,0,1,0,0,4.3,1.9,West-Ham-United
446,Tomáš Souček,cz CZE,MF,27,15,15,1307,1,1,0,1,0,2.5,0.6,West-Ham-United
447,Łukasz Fabiański,pl POL,GK,37,15,15,1243,0,0,0,0,0,0,0,West-Ham-United
448,Aaron Cresswell,eng ENG,DF,32,14,14,1240,0,0,0,2,0,0.2,2.5,West-Ham-United
449,Kurt Zouma,fr FRA,DF,28,14,14,1184,1,0,0,0,0,1.1,0,West-Ham-United
450,Thilo Kehrer,de GER,DF,26,13,13,1170,0,0,0,4,0,0.3,0.2,West-Ham-United
451,Pablo Fornals,es ESP,"FW,MF",26,14,9,776,1,0,0,0,0,0.6,1,West-Ham-United
452,Gianluca Scamacca,it ITA,FW,23,13,9,755,2,0,0,3,0,2.1,0.6,West-Ham-United
453,Saïd Benrahma,dz ALG,"FW,MF",27,13,7,751,2,1,1,0,0,2.4,1.1,West-Ham-United
454,Vladimír Coufal,cz CZE,"DF,MF",30,9,7,685,0,0,0,1,0,0.1,0.6,West-Ham-United
455,Lucas Paquetá,br BRA,"MF,FW",25,8,7,587,0,2,0,2,0,1.3,0.6,West-Ham-United
456,Michail Antonio,jm JAM,FW,32,14,6,607,2,1,0,1,0,2,0.4,West-Ham-United
457,Ben Johnson,eng ENG,DF,22,7,6,488,0,0,0,0,0,0,0.2,West-Ham-United
458,Craig Dawson,eng ENG,DF,32,5,5,450,0,0,0,2,0,0.1,0.1,West-Ham-United
459,Flynn Downes,eng ENG,MF,23,6,3,265,0,0,0,0,0,0.2,0,West-Ham-United
460,Emerson Palmieri,it ITA,"DF,MF",28,7,3,224,0,0,0,1,0,0.1,0,West-Ham-United
461,Manuel Lanzini,ar ARG,"MF,FW",29,5,1,126,0,0,0,0,0,0.1,0,West-Ham-United
462,Maxwel Cornet,ci CIV,FW,26,5,1,91,0,0,0,0,0,0.5,0,West-Ham-United
463,Alphonse Areola,fr FRA,GK,29,2,0,107,0,0,0,0,0,0,0,West-Ham-United
464,Nayef Aguerd,ma MAR,DF,26,1,0,76,0,0,0,0,0,0.1,0,West-Ham-United
465,Angelo Ogbonna,it ITA,DF,34,2,0,27,0,0,0,0,0,0,0.1,West-Ham-United
466,Conor Coventry,ie IRL,"MF,FW",22,1,0,1,0,0,0,0,0,0,0,West-Ham-United
467,Harrison Ashby,sct SCO,DF,21,0,0,,,,,,,,,West-Ham-United
468,Armstrong Okoflex,ie IRL,MF,20,0,0,,,,,,,,,West-Ham-United
469,Darren Randolph,ie IRL,GK,35,0,0,,,,,,,,,West-Ham-United
470,Nikola Vlašić,hr CRO,"FW,MF",25,0,0,,,,,,,,,West-Ham-United
472,James Tarkowski,eng ENG,DF,30,15,15,1350,0,0,0,2,0,0.8,0.8,Everton
473,Alex Iwobi,ng NGA,MF,26,15,15,1332,1,5,0,1,0,0.7,2.6,Everton
474,Demarai Gray,eng ENG,"FW,MF",26,15,15,1284,1,0,0,1,0,2.4,2.1,Everton
475,Vitaliy Mykolenko,ua UKR,"DF,MF",23,15,15,1283,0,0,0,2,0,0.4,0.5,Everton
476,Jordan Pickford,eng ENG,GK,28,14,14,1260,0,1,0,3,0,0,0.1,Everton
477,Conor Coady,eng ENG,DF,29,14,14,1250,1,1,0,1,0,0.6,0.3,Everton
478,Amadou Onana,be BEL,MF,21,14,12,1035,0,1,0,4,0,1.7,1,Everton
479,Anthony Gordon,eng ENG,FW,21,14,11,983,3,0,0,6,0,2.7,0.6,Everton
480,Idrissa Gana Gueye,sn SEN,MF,33,10,9,738,0,0,0,3,0,0,0.1,Everton
481,Nathan Patterson,sct SCO,"DF,MF",21,10,8,767,0,0,0,1,0,0.5,0.3,Everton
482,Dwight McNeil,eng ENG,"FW,DF",23,15,8,734,2,0,0,2,0,0.6,1.2,Everton
483,Séamus Coleman,ie IRL,DF,34,8,7,605,0,0,0,0,0,0.2,0.2,Everton
484,Neal Maupay,fr FRA,FW,26,10,6,553,1,0,0,1,0,2,0.5,Everton
485,Dominic Calvert-Lewin,eng ENG,FW,25,6,4,339,1,0,0,1,0,1.5,0.2,Everton
486,Mason Holgate,eng ENG,DF,26,4,3,320,0,0,0,1,0,0.3,0.3,Everton
487,Tom Davies,eng ENG,MF,24,7,3,298,0,0,0,2,0,0.5,0.1,Everton
488,Abdoulaye Doucouré,ml MLI,MF,29,7,2,186,0,0,0,0,0,0.1,0,Everton
489,Salomón Rondón,ve VEN,FW,33,7,1,109,0,0,0,0,0,0.8,0.2,Everton
490,Asmir Begović,ba BIH,GK,35,1,1,90,0,0,0,0,0,0,0,Everton
491,Yerry Mina,co COL,DF,28,1,1,69,0,0,0,1,0,0,0,Everton
492,Ben Godfrey,eng ENG,DF,24,1,1,17,0,0,0,0,0,0,0,Everton
493,James Garner,eng ENG,MF,21,6,0,142,0,0,0,1,0,0.1,0,Everton
494,Dele Alli,eng ENG,MF,26,2,0,40,0,0,0,0,0,0,0,Everton
495,Rúben Vinagre,pt POR,"DF,MF",23,2,0,26,0,0,0,0,0,0,0,Everton
496,Michael Keane,eng ENG,DF,29,1,0,23,0,0,0,0,0,0,0,Everton
497,Thomas Cannon,ie IRL,FW,19,1,0,17,0,0,0,0,0,0.1,0,Everton
498,Kyle Alex John,eng ENG,DF,21,0,0,,,,,,,,,Everton
499,Allan,br BRA,"DF,MF",31,0,0,,,,,,,,,Everton
500,Jean-Philippe Gbamin,ci CIV,"DF,MF",27,0,0,,,,,,,,,Everton
501,André Gomes,pt POR,MF,29,0,0,,,,,,,,,Everton
502,Eldin Jakupović,ch SUI,GK,38,0,0,,,,,,,,,Everton
503,Stanley Mills,eng ENG,MF,19,0,0,,,,,,,,,Everton
504,Lewis Warrington,eng ENG,MF,20,0,0,,,,,,,,,Everton
505,Reece Welch,eng ENG,DF,19,0,0,,,,,,,,,Everton
507,Dean Henderson,eng ENG,GK,25,15,15,1350,0,0,0,2,0,0,0,Nottingham-Forest
508,Scott McKenna,sct SCO,DF,26,14,14,1260,0,0,0,4,0,0.1,0.8,Nottingham-Forest
509,Brennan Johnson,wls WAL,"FW,MF",21,15,13,1187,2,0,1,2,0,3.2,0.7,Nottingham-Forest
510,Neco Williams,wls WAL,DF,21,15,12,1078,0,0,0,3,0,0.9,1.2,Nottingham-Forest
511,Morgan Gibbs-White,eng ENG,"FW,MF",22,13,12,1036,2,2,0,1,0,2.2,2.1,Nottingham-Forest
512,Ryan Yates,eng ENG,MF,25,13,11,1033,0,1,0,3,0,1.5,0.6,Nottingham-Forest
513,Steve Cook,eng ENG,DF,31,12,11,957,0,0,0,4,0,0.1,0.6,Nottingham-Forest
514,Jesse Lingard,eng ENG,"FW,MF",29,13,10,809,0,0,0,1,0,1,0.7,Nottingham-Forest
515,Remo Freuler,ch SUI,MF,30,11,9,831,0,0,0,2,0,0.1,0.2,Nottingham-Forest
516,Cheikhou Kouyaté,sn SEN,"MF,DF",32,12,9,704,1,0,0,2,0,0.3,0.6,Nottingham-Forest
517,Joe Worrall,eng ENG,DF,25,11,7,717,0,0,0,4,0,0.2,0.5,Nottingham-Forest
518,Harry Toffolo,eng ENG,DF,27,8,6,577,0,0,0,0,0,0.2,0.4,Nottingham-Forest
519,Serge Aurier,ci CIV,DF,29,7,6,530,0,0,0,1,0,0,0.2,Nottingham-Forest
520,Lewis O'Brien,eng ENG,MF,24,11,6,525,1,0,0,2,0,0.3,0.2,Nottingham-Forest
521,Taiwo Awoniyi,ng NGA,FW,25,13,6,512,3,0,0,0,0,3.6,0.7,Nottingham-Forest
522,Renan Lodi,br BRA,DF,24,7,6,505,0,0,0,1,0,0.4,0.1,Nottingham-Forest
523,Emmanuel Dennis,ng NGA,FW,25,9,3,345,1,1,0,2,0,0.6,0.3,Nottingham-Forest
524,Orel Mangala,be BEL,MF,24,7,3,267,0,0,0,0,0,0.2,0,Nottingham-Forest
525,Moussa Niakhate,fr FRA,DF,26,2,2,160,0,0,0,0,0,0.3,0,Nottingham-Forest
526,Willy Boly,ci CIV,DF,31,2,2,152,0,0,0,1,0,0,0,Nottingham-Forest
527,Jack Colback,eng ENG,MF,33,4,1,147,0,0,0,0,0,0,0.2,Nottingham-Forest
528,Sam Surridge,eng ENG,FW,24,8,1,136,0,0,0,1,0,0.2,0.1,Nottingham-Forest
529,Giulian Biancone,fr FRA,DF,22,2,0,17,0,0,0,0,0,0,0,Nottingham-Forest
530,Alexander Mighten,eng ENG,FW,20,1,0,8,0,0,0,0,0,0,0,Nottingham-Forest
531,Cafú,pt POR,MF,29,1,0,7,0,0,0,0,0,0,0,Nottingham-Forest
532,Loïc Bade,fr FRA,DF,22,0,0,,,,,,,,,Nottingham-Forest
533,Oliver Hammond,wls WAL,MF,20,0,0,,,,,,,,,Nottingham-Forest
534,Wayne Hennessey,wls WAL,GK,35,0,0,,,,,,,,,Nottingham-Forest
535,Loïc Mbe Soh,fr FRA,DF,21,0,0,,,,,,,,,Nottingham-Forest
536,Dale Taylor,nir NIR,FW,18,0,0,,,,,,,,,Nottingham-Forest
537,Lyle Taylor,ms MSR,FW,32,0,0,,,,,,,,,Nottingham-Forest
539,Gavin Bazunu,ie IRL,GK,20,15,15,1350,0,0,0,0,0,0,0.1,Southampton
540,James Ward-Prowse,eng ENG,MF,28,15,15,1350,1,2,0,2,0,0.7,2.7,Southampton
541,Mohammed Salisu,gh GHA,DF,23,14,14,1260,0,1,0,4,0,0.7,0.5,Southampton
542,Che Adams,sct SCO,FW,26,14,12,1066,4,1,0,0,0,3.9,1.7,Southampton
543,Mohamed Elyounoussi,no NOR,"MF,FW",28,14,12,985,0,1,0,2,0,2,1.3,Southampton
544,Kyle Walker-Peters,eng ENG,DF,25,11,11,952,1,0,0,2,0,0.7,0.7,Southampton
545,Armel Bella Kotchap,de GER,DF,20,11,11,903,0,1,0,1,0,0.7,0.1,Southampton
546,Adam Armstrong,eng ENG,FW,25,14,11,869,1,1,0,0,0,1.1,0.7,Southampton
547,Joe Aribo,ng NGA,"MF,FW",26,15,10,944,2,0,0,1,0,1.4,0.8,Southampton
548,Romain Perraud,fr FRA,DF,25,13,10,851,2,2,0,1,0,0.9,1.5,Southampton
549,Stuart Armstrong,sct SCO,"MF,FW",30,14,7,690,1,0,0,2,0,1,1.5,Southampton
550,Roméo Lavia,be BEL,MF,18,7,6,557,1,0,0,2,0,0.2,0.2,Southampton
551,Ibrahima Diallo,fr FRA,MF,23,9,6,450,0,0,0,1,0,0.1,0,Southampton
552,Moussa Djenepo,ml MLI,"DF,FW",24,10,5,526,0,1,0,0,0,0.1,0.2,Southampton
553,Duje Ćaleta-Car,hr CRO,DF,26,7,5,486,0,0,0,1,0,0.2,0,Southampton
554,Ainsley Maitland-Niles,eng ENG,"MF,DF",25,7,4,412,0,0,0,2,0,0,0.2,Southampton
555,Lyanco,br BRA,DF,25,7,2,236,0,0,0,2,0,0.1,0,Southampton
556,Sekou Mara,fr FRA,"FW,MF",20,9,2,214,0,1,0,0,0,0.7,0.5,Southampton
557,Jan Bednarek,pl POL,DF,26,2,2,159,0,0,0,0,0,0.1,0.1,Southampton
558,Juan Larios,es ESP,DF,18,5,2,152,0,0,0,0,0,0,0,Southampton
559,Theo Walcott,eng ENG,"FW,MF",33,3,1,113,0,0,0,1,0,0,0,Southampton
560,Oriol Romeu,es ESP,MF,31,1,1,74,0,0,0,0,0,0,0,Southampton
561,Yan Valery,tn TUN,DF,23,1,1,45,0,0,0,0,0,0,0,Southampton
562,Samuel Edozie,eng ENG,"MF,FW",19,8,0,159,0,0,0,0,0,0.3,0.1,Southampton
563,Jack Stephens,eng ENG,DF,28,2,0,46,0,0,0,0,0,0,0,Southampton
564,Nathan Redmond,eng ENG,DF,28,1,0,1,0,0,0,0,0,0,0,Southampton
565,Ryan Finnigan,eng ENG,MF,19,0,0,,,,,,,,,Southampton
566,Alex McCarthy,eng ENG,GK,32,0,0,,,,,,,,,Southampton
567,Lewis Payne,eng ENG,DF,18,0,0,,,,,,,,,Southampton
569,Max Kilman,eng ENG,DF,25,15,15,1350,0,0,0,0,0,0.6,0,Wolverhampton-Wanderers
570,José Sá,pt POR,GK,29,15,15,1350,0,0,0,0,0,0,0,Wolverhampton-Wanderers
571,Rúben Neves,pt POR,"MF,DF",25,14,14,1260,4,0,2,6,0,2.3,0.4,Wolverhampton-Wanderers
572,Nathan Collins,ie IRL,DF,21,12,12,1022,0,0,0,2,1,0,0.1,Wolverhampton-Wanderers
573,Daniel Podence,pt POR,"FW,MF",27,15,12,1020,2,0,0,3,0,2.1,1.6,Wolverhampton-Wanderers
574,João Moutinho,pt POR,MF,36,13,11,997,0,0,0,2,0,0.8,1.5,Wolverhampton-Wanderers
575,Jonny Castro,es ESP,DF,28,12,11,979,0,0,0,3,0,0.3,0.3,Wolverhampton-Wanderers
576,Matheus Nunes,pt POR,MF,24,12,11,857,0,1,0,1,0,1.1,1.2,Wolverhampton-Wanderers
577,Gonçalo Guedes,pt POR,"FW,MF",25,12,8,689,1,1,0,1,0,1.2,0.5,Wolverhampton-Wanderers
578,Nélson Semedo,pt POR,DF,29,13,8,675,0,1,0,3,1,0,0.2,Wolverhampton-Wanderers
579,Pedro Neto,pt POR,"FW,MF",22,8,8,599,0,0,0,1,0,0.7,1.2,Wolverhampton-Wanderers
580,Rayan Aït Nouri,fr FRA,DF,21,10,7,666,0,0,0,1,0,0.4,0.8,Wolverhampton-Wanderers
581,Adama Traoré,es ESP,"FW,MF",26,12,6,622,1,0,0,0,0,0.6,1,Wolverhampton-Wanderers
582,Hugo Bueno,es ESP,DF,20,6,5,451,0,1,0,1,0,0.1,0.4,Wolverhampton-Wanderers
583,Diego Costa,es ESP,FW,34,6,5,412,0,0,0,0,1,1.7,0.2,Wolverhampton-Wanderers
584,Boubacar Traoré,ml MLI,MF,21,8,4,384,0,1,0,2,0,0.1,0.2,Wolverhampton-Wanderers
585,Hwang Hee-chan,kr KOR,FW,26,11,3,325,0,1,0,0,0,0.4,0.7,Wolverhampton-Wanderers
586,Toti Gomes,pt POR,DF,23,3,3,259,0,0,0,1,0,0,0.1,Wolverhampton-Wanderers
587,Leander Dendoncker,be BEL,MF,27,4,2,214,0,0,0,0,0,0.7,0,Wolverhampton-Wanderers
588,Raúl Jiménez,mx MEX,FW,31,3,2,212,0,0,0,0,0,0.8,0.4,Wolverhampton-Wanderers
589,Morgan Gibbs-White,eng ENG,"FW,MF",22,2,2,180,0,0,0,1,0,0.7,0.1,Wolverhampton-Wanderers
590,Sasa Kalajdzic,at AUT,FW,25,1,1,45,0,0,0,0,0,0.3,0,Wolverhampton-Wanderers
591,Joseph Hodge,ie IRL,MF,20,3,0,79,0,0,0,1,0,0.1,0,Wolverhampton-Wanderers
592,Chem Campbell,wls WAL,"FW,MF",19,5,0,74,0,0,0,0,0,0.1,0,Wolverhampton-Wanderers
593,Dexter Lembikisa,jm JAM,DF,19,1,0,23,0,0,0,0,0,0,0,Wolverhampton-Wanderers
594,Connor Ronan,ie IRL,MF,24,1,0,1,0,0,0,0,0,0,0,Wolverhampton-Wanderers
595,Willy Boly,ci CIV,DF,31,0,0,,,,,,,,,Wolverhampton-Wanderers
596,Conor Coady,eng ENG,"DF,MF",29,0,0,,,,,,,,,Wolverhampton-Wanderers
597,Luke Cundle,eng ENG,MF,20,0,0,,,,,,,,,Wolverhampton-Wanderers
598,Nathan Fraser,ie IRL,FW,17,0,0,,,,,,,,,Wolverhampton-Wanderers
599,Harvey Griffiths,eng ENG,MF,19,0,0,,,,,,,,,Wolverhampton-Wanderers
600,Yerson Mosquera,co COL,DF,21,0,0,,,,,,,,,Wolverhampton-Wanderers
601,Matija Šarkić,me MNE,GK,25,0,0,,,,,,,,,Wolverhampton-Wanderers
